return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,status
2026-06-01,112-7000001-2000001,TW-U3000-FR,B0LABU3000,X00LABU3000,THINKWARE U3000 4K UHD Dash Cam Front and Rear,1,SMF3,SELLABLE,UNWANTED_ITEM,Completed
2026-06-02,112-7000002-2000002,TW-U3000-FR,B0LABU3000,X00LABU3000,THINKWARE U3000 4K UHD Dash Cam Front and Rear,1,BFI4,SELLABLE,NO_REASON_GIVEN,Completed
2026-06-03,112-7000003-2000003,TW-U3000-FR,B0LABU3000,X00LABU3000,THINKWARE U3000 4K UHD Dash Cam Front and Rear,1,LGB8,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Completed
2026-06-04,112-7000004-2000004,TW-Q200-2CH,B0LABQ200X,X00LABQ200X,THINKWARE Q200 2K QHD Dash Cam 2-Channel,1,MDW2,SELLABLE,UNWANTED_ITEM,Completed
2026-06-05,112-7000005-2000005,TW-Q200-2CH,B0LABQ200X,X00LABQ200X,THINKWARE Q200 2K QHD Dash Cam 2-Channel,1,ONT8,SELLABLE,NO_REASON_GIVEN,Completed
2026-06-06,112-7000006-2000006,TW-Q200-2CH,B0LABQ200X,X00LABQ200X,THINKWARE Q200 2K QHD Dash Cam 2-Channel,1,SMF3,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Completed
2026-06-07,112-7000007-2000007,TW-Q200-2CH,B0LABQ200X,X00LABQ200X,THINKWARE Q200 2K QHD Dash Cam 2-Channel,1,BFI4,SELLABLE,MISSED_ESTIMATED_DELIVERY,Completed
2026-06-01,112-7000008-2000008,TW-Q200-2CH,B0LABQ200X,X00LABQ200X,THINKWARE Q200 2K QHD Dash Cam 2-Channel,1,LGB8,SELLABLE,UNWANTED_ITEM,Completed
2026-06-02,112-7000009-2000009,TW-F70-1CH,B0LABF70XX,X00LABF70XX,THINKWARE F70 Full HD 1080p Dash Cam,1,MDW2,SELLABLE,UNWANTED_ITEM,Completed
2026-06-03,112-7000010-2000010,TW-F70-1CH,B0LABF70XX,X00LABF70XX,THINKWARE F70 Full HD 1080p Dash Cam,1,ONT8,SELLABLE,NO_REASON_GIVEN,Completed
